Interne Liste der ehemaligen Stellen für betreute praktische Studienprojekte (BPS) und Bachelorthesen (BT);;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Stelle;Semester;Inhalte/Themen;Unternehmen;Ort/Kontaktadresse;;;;;
BPS;WS0708;SAP-Projekte;Bosch GmbH;Wernerstraße 51, 70469 Stuttgart-Feuerbach;;;;;
BPS;WS0708;SAP-Prozesse Logistik;Bosch GmbH;Franz-Oechsle-Straße 4, 73207 Plochingen;;;;;
BPS;WS0708;;Institut Cartogràfic de Catalunya;Parc de Montjuic, 08038 Barcelona, Spanien;;;;;
BPS;WS0708;SAP HR;Datenzentrale BW;Krailenhaldenstr. 44, 70469 Stuttgart-Feuerbach;;;;;
BPS;WS0708;Projektabwicklung und SAP ;Bosch Thermotechnik GmbH;Sophienstrasse 30-32, 35576 Wetzlar;;;;;
BPS;WS0708;Knowledge Management incl. Workflows;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;
BPS;WS0708;Warenfluss in der Marktbelieferung ;Kaufland Dienstleistung GmbH & Co. Kg;Rötelstraße 35, 74172 Neckarsulm;;;;;
BPS;WS0708;Anwendungssoftware in Logistik ;AEB-Ges. … Brachensoftware mbH ;Julius-Hölder-Str. 39, 70597 Stuttgart;;;;;
BPS;WS0708;;Prosche AG;;;;;;
BPS;WS0708;;M-Way solutions GmbH ;Leitzstr. 45, 70469 Stuttgart;;;;;
BPS;WS0708;Logistikoptimierung, SCM Optimierung ;CAS;Wilhelm-Schickard-Str. 8-12, 76131 Karlsruhe;;;;;
BPS;WS0708;Multim. Inhalte von Navigationsgeräten, Pmanagement ;Falk Marco Polo interactive GmbH ;Marco-Polo-Str. 1, 73760 Ostfildern ;;;;;
BPS;WS0708;Markt- Wettbewerbsanalyse ;Fracht australia Pty Limited ;42 Concorde Drive, Keilor Park, VIC 3042, Melbourne, Australien;;;;;
BT;WS0809;Echtzeitortung mit Hilfe eines aktiven RFIDSystems am Beispiel der automatischen Steuerung einer Modelleisenbahn;HftT Stuttgart;Stuttgart;;;;;
BT;WS0809;New Generation Mobile Programming Platform Study Case: Mobile driver assistant for transport on-demand;Institut Cartogràfic de Catalunya;Parc de Montjuic, 08038 Barcelona, Spanien;;;;;
BT;WS0809;Aufbereitung von Shuttle Radar Topography Mission Daten für die Nutzung als weltweites digitales Geländemodell - Implementierung und Webservices;Geofabrik GmbH;Scheffelstraße 17a, 76135 Karlsruhe;;;;;
BT;WS0809;Migration von Projektdaten in ein browserbasiertes Dokumentenmanagementsystems;;;;;;;
BT;WS0809;Geschäftsprozessoptimierung im Wissensmanagement - Modellierung und Optimierung eines Community-Prozesses;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;
BT;WS0809;Entwicklung von artikelbezogenen Dispositions- und Lieferkonzepten;Kaufland Dienstleistung GmbH & Co. Kg;Rötelstraße 35, 74172 Neckarsulm;;;;;
BT;WS0809;Aufbau einer prozessorientierten Knowledge Management Infrastruktur im IT-Beratungsumfeld;Daimler TSS GmbH;Wilhelm-Runge-Straße 11, 89081 Ulm;;;;;
BT;WS0809;Regelbasiertes Informationsmanagement für kontextsensitives und situationsabhängiges Verhalten in mobilen Assistenzsystemen;HFT Stuttgart;Stuttgart;;;;;
BT;WS0809;Konzeption eines Editors für die flexible Verwaltung von Metadatenmodellen am Beispiel eines Produktinformationsmanagement-Systems;Heiler Sofware AG;Mittlerer Pfad 5, 70499 Stuttgart;;;;;
BT;WS0809;Erstellung eines Konzepts für Last- und Performancetests für das System der Daimler Fleetboard GmbH;Daimler Fleetboard GmbH;Am Wallgraben 125, 70567 Stuttgart;;;;;
BPS;WS0809;Business Line Technology, Softwareentwicklung, 3rd Level Support, Unterstützung beim Application Management;Mieschke Hofmann und Partner GmbH;Schloss Heutingsheim, Schlossstr. 12 71691 Freiberg am Neckar;;;;;
BPS;WS0809;Entwicklung von Anwendungssoftware, kundenspezifisch angepasste Plattform, PPT;Vector Informatik GmbH;Ingersheimer Str. 24 70499 Stuttgart;;;;;
BPS;WS0809;Sensorik von Prüfgeräten, Einführung Prüf- und Updatesystem für Porsche-Fhzg, FAC;Porsche AG;Porscheplatz 1, 70435 Stuttgart-Zuffenhausen;;;;;
BPS;WS0809;Services Procurement, Umgang mit Systemen und Prozessen eines optimierenden Einkaufs, Einkaufbestellsystem SAP, IBM Einkaufsprozesse;IBM;Pascalstraße 100, 70569 Stuttgart;;;;;
BPS;WS0809;Lieferantenmanagement, Analyseprozesse, Aris-Prozessabbildung und Verbesserung, Qualitätsanalyse Kaufteilprodukte;Daimler AG;Hans-Martin-Schleyer-Str. 21-57, 68305 Mannheim;;;;;
BPS;WS0809;Lieferantenmanagement, Qualität Logistik;Daimler AG;Mercedesstraße 1, 76437 Rastatt, Gaggenau, Werksteil Rastatt;;;;;
BPS;WS0809;Beschaffungsprozessplanung, Integration von Lieferanten, Planung der Materialflüsse, Effizienzcontrolling;Daimler AG;Tübinger Allee 2, 71065 Sindelfingen;;;;;
BPS;WS0809;Logistik und Produktionsoptimierung, Verbrauchsteuerung, Kanban, Standardisierung, Visualisierung, Optimierung des Betriebsflusses;Bosch GmbH;Tübinger Str. 123, 72762 Reutlingen;;;;;
BPS;WS0809;Prozessoptimierung bei AA-DG, Produktentstehungsprozesse, Abteilungsintranetseiten;Bosch GmbH;Franz-Oechsle-Straße 4, 73207 Plochingen;;;;;
BPS;WS0809;Auto+MI, Supply Chain Management, Prozessablaufmanagement, SAP, Controlling;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;
BPS;WS0809;Unterstützung der Service Manager, Prozessoptimierung und -definition, Veränderungsprozess Diagnostics, Kundenzufriedenheitsstudien;Bosch GmbH;Franz-Oechsle-Straße 4, 73207 Plochingen;;;;;
BPS;WS0809;Einführung GIS-System, Optimierung und Modellierung der Prozesse, performanceoptimierte Systemarchitektur für raumbegogene Daten, Realisierung von Konfliktsteuerung;EnBW;Kriegsbergstr. 32,  70174 Stuttgart;;;;;
BPS;WS0809;Entwicklung von Anwendungssoftware, Unterstützung beim System- und Lizenz-Management SAP;Bosch GmbH;Wernerstraße 51, 70469 Stuttgart-Feuerbach;;;;;
BPS;WS0809;RFID Technology, RFID und Softwareentwicklung;IBM Stuttgart;Pascalstraße 100, 70569 Stuttgart;;;;;
BPS;WS0809;Manager Purchasing;Logistics Group International;Hewlett-Packard-Straße 2, 71034 Böblingen;;;;;
BPS;WS0809;Adressoptimierung in Lotus Notes, Optimierung von Adressverteilungssystem, Prozessoptimierung;Dachser GmbH;Memminger Straße 140, 87439 Kempten;;;;;
BPS;WS0809;Service-Support, Prozessoptimierung, Logistikcontrolling, Bestandsoptimierung;Bosch Verpackungstechnik GmbH;Alte Bundesstraße 50, 71332 Waiblingen;;;;;
BPS;WS0809;Einführung SAP-System, Unterstützung Projektleitung, Prozessabstimmung, Datenmigration, Dokumentation;Bosch Engineering GmbH;Robert-Bosch-Allee 1, 74232 Abstatt;;;;;
BPS;WS0809;Reifegrad- und Anlaufmanagement, Logistik, Modellierung zukünftiger logistischer Prozesse, Entwicklung logischer Methoden für den Serienanlauf neuer Fahrzeugbaureihen;Daimler AG;Tübinger Allee 2, 71065 Sindelfingen;;;;;
BPS;WS0809;Beschaffungslogistik, SAP, Terminüberwachung, Lieferantenbetreuung;Bosch Thermotechnik GmbH;Junkerstraße 20, 73249 Wernau;;;;;
BT;WS0910;Analyse und Konzeption von Geschäftsprozessen am Beispiel einer Marktgebietskooperation im liberalisierten Erdgasmarkt Deutschland;Gasversorgung Süddeutschland GmbH;Am Wallgraben 135, 70565 Stuttgart;;;;;
BT;WS0910;Studie zur Anwendung von Service Level Management (SLM) Prozessen im SAP Competence Centre der Heidelberg Cement AG;HeidelbergCement AG;Berliner Straße 6, 69120 Heidelberg;;;;;
BT;WS0910;Die Lieferantennummerlogik bei Mercedes Benz PKW - Die Auswirkungen des derzeitigen Prozesses auf das Anlaufmanagement und bereichsübergreifende Optimierungspotentiale;Daimler AG;Tübinger Allee 2, 71065 Sindelfingen;;;;;
BT;WS0910;Realisierung eines serviceorientierten Unternehmensprozesses;Fraunhofer;Nobelstr. 12, 70569 Stuttgart;;;;;
BT;WS0910;Entwicklung einer verursachergerechten Kostenverrechnung in der Logistik auf Basis eines Qualitätsmanagementsystems (am Beispiel Bosch Thermotechnik GmbH);Bosch Thermotechnik GmbH;Junkerstraße 20, 73249 Wernau;;;;;
BT;WS0910;Analyse der Wissensbildung in der Fahrzeugdiagnose und Konzeption eines prozessorientierten Wissensmanagements;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;
BT;WS0910;Der Aspekt Testmanagement und Testtools im CMMI – Komplex Verifikation am Beispiel der Daimler SCM – Projektes SMB;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;
BT;WS0910;Implementierung einer workflowgestützten Testspezifikation im Projekt AnTeAs;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;
BT;WS0910;Implementierung einer Systemarchitektur zur workflowgestützten Testausführung im Projekt AnTeAs;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;
BT;WS0910;Konzeption eines eCommerce-Systems im Bereich Diagnostic-Services zur Erweiterung der Kundenorientierung und des Dienstleistungsportfolio.;Bosch GmbH;Franz-Oechsle-Straße 4, 73207 Plochingen;;;;;
BT;WS0910;Erarbeitung und Anwendung eines Plugin-Konzepts für FleetBoard WebStart-Clients;Daimler Fleetboard GmbH;Am Wallgraben 125, 70567 Stuttgart;;;;;
BT;WS0910;Einsatz des Knowledge Discovery zur Analyse und Optimierung von Kalibrierdaten aus dem Automotive Umfeld;Vector Informatik GmbH;Ingersheimer Str. 24 70499 Stuttgart;;;;;
BT;WS0910;Analyse und Evaluierung von Softwarelösungen zur Vermeidung von False Positiv Reads an RFID Portalen;IBM Deutschland GmbH;Pascalstraße 100, 70569 Stuttgart;;;;;
BPS;WS0910;"Projektarbeit an GPS-Orientierungshilfen
GPS Orientierung, Positionierung, Kontentverwaltung
-Entwicklung von Informationslogistischen Anwendungen";Fraunhofer Institut für Matralfluss und Logistik ;Joseph-von-Fraunhofer-Str. 9, 83209 Prien am Chiemsee;;;;;
BPS;WS0910;"Entwicklung und Personalmanagement Software
-Webentwicklung mit Java, Java Skript und HTML
-Erstellen und Anpassen von SQL queries
-Test und Entwicklungsdatenbanken bereitstellen (MySQL, MS SQL)";MHM;Hölderlinstraße 3, 70174 Stuttgart;;;;;
BPS;WS0910;"Verkehrslogistik
-Bauen eines Ortungssystems für Fahrzeuge
-Integration und Kopplung benötigter Komponente
-Programmierung von Cervices für RFID Reader, Galileo Empfänger und mobiler Endgeräte";Fraunhofer Institut für Matralfluss und Logistik IML;Joseph-von-Fraunhofer-Str. 2, 44227 Dortmund;;;;;
BPS;WS0910;"Informationssysteme
-Mitwirkung im PC- und Userssuport
-Unterstützung des Einkaufsprozesses
-Weiterentwicklung von Datenbanken
-operatives Tagesgeschäft
";Porsche Engineering Services GmbH;Etzelstraße 1, 74321 Beitighiem-Bissingen;;;;;
BPS;WS0910;"Entwicklungs und Anwendungssoftware
-RFID Trackingdaten, Benutzerschnittstellen erstellen, 
-Implementierung mit Webservices unter 
-Berücksichtigung von EPCIS Standards.

";Fraunhofer Institut für Produktionstechnik und Automatisierung (IPA);Nobelstr. 12, 70569 Stuttgart;;;;;
BPS;WS0910;"RFID Anwendungsentwicklung
-Aufbau und Testdurchführung versch. Use-Cases im Bereich RFID/Lokalisierung
-SW-Umsetzung von Use-Cases in der Middleware
-Ergebnisspräsentation und Kundenkontakt
-Erstellung von ……… im Thema RFID";IBM Deutschland GmbH;Pascalstraße 100, 70569 Stuttgart;;;;;
BPS;WS0910;Knowledge Management System Entwicklung für die ESA;DLR;;;;;;
BPS;WS0910;"After Sales Kundenzufriedenheit
-Schnittstelle zwischen Autowerstätte und MB Marktvertretung, Zentrale
- analysieren vom Informationsfluss zwischen den Stationen
- Präsentationen fürs Topmanagement erstellen";Daimler AG;Palmenwaldstraße 1 + 28, 73733 Esslingen-Brühl;;;;;
BPS;WS0910;"3D Stadtmodelle/Geodateninfrastruktur
-3D GIS Research
-""other related geo spatial agencies""
";University Teknologi Malaysia;Joher MALAYSIA;;;;;
BPS;WS0910;- Umsetzung eines bestehenden Systems auf eine neue Steuerung                                                                                                 -Umstellung der Fernüberwachung von SMS auf e-mail-Übertragung                                                                                             - Optimierung eines bestehenden Systems                                                                                                                                                 - Arbeiten mit der Steuerungssoftware in IEC-gnormte Sprachen: ST&FU und mit der Zentralsoftware mittels Java, die auf den Apache Tomcat Server basiert;"RBS wave AG
Rohrnetztechnik
Steuerungssoftware";Kriegsbergstr. 32,  70174 Stuttgart;;;;;
BPS;WS0910;"Projektassistentin im Bereich Logistik
-Projekt ""Sistema de Calidad Six Sigma""
-Informationsbeschattung und Umsetzung
-Tagesgeschäft";DHL Honduras;Km7, Carretera A La Lima, San Pedro Sula, HONDURAS;;;;;
BPS;WS0910;"-DatenerfassungDatenaufbereitung und 
-Datenauswertung
-Webprogrammieren in HTML und CFML mit SQL Abfragen 
-Umstellung auf ein neuse Web-GIS";Flughafen Stuttgart GmbH;Flughafenstraße 43, 70629 Stuttgart;;;;;
BPS;WS0910;"Logistikdisposition
- Datenbanken in Access
-Fehlerminimierung 
-Bestand des IT Lagers
";Daimler AG;Tübinger Allee 2, 71065 Sindelfingen;;;;;
BPS;WS0910;"Logistikplanung der neuen C-Klasse
-Unterstützung der Projektleitung bei der Informationslogistik und Durchführung der Analyse de r Vorgangsprozesse
-Prozessoptimierung, Produktionsversorgung, Staplersteuerung Routenoptimierung";Daimler AG;Tübinger Allee 2, 71065 Sindelfingen;;;;;
BPS;WS0910;"Betreuung und Entwicklung des globalen Netztwerkes der Daimler AG
- Planung und Durchführung der Umstellung auf VoIP/Video over IP
- Betreuung und Weiterentwicklung des Global Network
-Netzwerk Hosten";Daimler AG;Emil-Kessler-Straße 4, 73733 Esslingen-Mettingen;;;;;
BPS;WS0910;"Globale Logistikplanung
- Gestaltung globaler Materialflüsse
-Planung und Bewertung von globalen Belieferungskonzepten
-Projektmamagement
-Analyse von Beleiferungsketen
-Anlaufmanagement";Daimler AG;Stuttgart;;;;;
BPS;WS0910;"Betreuung IT-Projekte
-Betreuung und Optimierung der Karosserieverfolgung mittels RFID-systeme
-Unterstützung bei bestehenden MES Systemen
-auswertung von IT Bestandsmanagement";Dr. Ing. h.c. Ferdinand Porsche AG;Porscheplatz 1, 70435 Stuttgart-Zuffenhausen;;;;;
BPS;WS0910;Prozessoptimierung;Bosch Rexroth;Löwentorstr. 68-70, 70376 Stuttgart;;;;;
BPS;WS0910;"- HR Datawarehouse
-Realisierung und Rollout eines HR Data Warehouses
-Überarbeitung des Berechtigungskonzeptes
-Bewertung der Datenumfänge
-usw";Daimler AG;Stuttgart;;;;;
BPS;WS0910;"Strategische Planung
-Erstellung von Beschaffungsmarktanalyse
-ieferantenmanagement-
-Contract Managementx
-Ermittlung von Einkaufskennzahlen";Siemens AG;Östliche Rheinbrücke. 50, 76187 Karlsruhe;;;;;
;;;;;;;;;
BT;SS10;Verbesserung des globalen Wissensaustausches durch Social Software-Auswirkungen auf den internationalen Vertriebsprozess der Festo AG & Co. KG;Festo AG & Co. KG;Ruiter Straße 82, 73734 Esslingen-Berkheim;;;;;
BT;SS10;Entwicklung eines informatorischen Konzeptes zur Optimierung des kleinladungsträger-Belieferungsprozesses im Einsatz der Montech-Fördertechnik;Daimler AG;Epplestrasse 227, 70567 Stuttgart;;;;;
BT;SS10;Verzahnung von Montage- und Logistikplanungsprozessen in der frühen Phase innerhalb der Digitalen Fabrik;Daimler AG;Tübinger Allee 2, 71065 Sindelfingen;;;;;
BT;SS10;;HFT Stuttgart;Stuttgart;;;;;
BT;;Echtzeitortung mit Hilfe eines aktiven RFIDSystems am Beispiel der automatischen Steuerung einer Modelleisenbahn;HftT Stuttgart;Stuttgart;;;;;
BT;;New Generation Mobile Programming Platform Study Case: Mobile driver assistant for transport on-demand;Institut Cartogràfic de Catalunya;Parc de Montjuic, 08038 Barcelona, Spanien;;;;;
BT;;Aufbereitung von Shuttle Radar Topography Mission Daten für die Nutzung als weltweites digitales Geländemodell - Implementierung und Webservices;Geofabrik GmbH;Scheffelstraße 17a, 76135 Karlsruhe;;;;;
BT;;Migration von Projektdaten in ein browserbasiertes Dokumentenmanagementsystems;;;;;;;
BT;;Geschäftsprozessoptimierung im Wissensmanagement - Modellierung und Optimierung eines Community-Prozesses;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;
BT;;Entwicklung von artikelbezogenen Dispositions- und Lieferkonzepten;Kaufland Dienstleistung GmbH & Co. Kg;Rötelstraße 35, 74172 Neckarsulm;;;;;
BT;;Aufbau einer prozessorientierten Knowledge Management Infrastruktur im IT-Beratungsumfeld;Daimler TSS GmbH;Wilhelm-Runge-Straße 11, 89081 Ulm;;;;;
BT;;Regelbasiertes Informationsmanagement für kontextsensitives und situationsabhängiges Verhalten in mobilen Assistenzsystemen;HFT Stuttgart;Stuttgart;;;;;
BT;;Konzeption eines Editors für die flexible Verwaltung von Metadatenmodellen am Beispiel eines Produktinformationsmanagement-Systems;Heiler Sofware AG;Mittlerer Pfad 5, 70499 Stuttgart;;;;;
BT;;Erstellung eines Konzepts für Last- und Performancetests für das System der Daimler Fleetboard GmbH;Daimler Fleetboard GmbH;Am Wallgraben 125, 70567 Stuttgart;;;;;
BT;;Analyse und Konzeption von Geschäftsprozessen am Beispiel einer Marktgebietskooperation im liberalisierten Erdgasmarkt Deutschland;Gasversorgung Süddeutschland GmbH;Am Wallgraben 135, 70565 Stuttgart;;;;;
BT;;Studie zur Anwendung von Service Level Management (SLM) Prozessen im SAP Competence Centre der Heidelberg Cement AG;HeidelbergCement AG;Berliner Straße 6, 69120 Heidelberg;;;;;
BT;;Die Lieferantennummerlogik bei Mercedes Benz PKW - Die Auswirkungen des derzeitigen Prozesses auf das Anlaufmanagement und bereichsübergreifende Optimierungspotentiale;Daimler AG;Tübinger Allee 2, 71065 Sindelfingen;;;;;
BT;;Realisierung eines serviceorientierten Unternehmensprozesses;Fraunhofer;Nobelstr. 12, 70569 Stuttgart;;;;;
BT;;Entwicklung einer verursachergerechten Kostenverrechnung in der Logistik auf Basis eines Qualitätsmanagementsystems (am Beispiel Bosch Thermotechnik GmbH);Bosch Thermotechnik GmbH;Junkerstraße 20, 73249 Wernau;;;;;
BT;;Analyse der Wissensbildung in der Fahrzeugdiagnose und Konzeption eines prozessorientierten Wissensmanagements;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;
BT;;Der Aspekt Testmanagement und Testtools im CMMI – Komplex Verifikation am Beispiel der Daimler SCM – Projektes SMB;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;
BT;;Implementierung einer workflowgestützten Testspezifikation im Projekt AnTeAs;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;
BT;;Implementierung einer Systemarchitektur zur workflowgestützten Testausführung im Projekt AnTeAs;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;
BT;;Konzeption eines eCommerce-Systems im Bereich Diagnostic-Services zur Erweiterung der Kundenorientierung und des Dienstleistungsportfolio.;Bosch GmbH;Franz-Oechsle-Straße 4, 73207 Plochingen;;;;;
BT;;Erarbeitung und Anwendung eines Plugin-Konzepts für FleetBoard WebStart-Clients;Daimler Fleetboard GmbH;Am Wallgraben 125, 70567 Stuttgart;;;;;
BT;;Einsatz des Knowledge Discovery zur Analyse und Optimierung von Kalibrierdaten aus dem Automotive Umfeld;Vector Informatik GmbH;Ingersheimer Str. 24 70499 Stuttgart;;;;;
BT;;Analyse und Evaluierung von Softwarelösungen zur Vermeidung von False Positiv Reads an RFID Portalen;IBM Deutschland GmbH;Pascalstraße 100, 70569 Stuttgart;;;;;
